Random ID,Term,Course Abbrevation,Course Number,course,level
302243,Fall 2021,ENGL,1109,ENGL 1109,1000
302280,Spring 2022,ENGL,1109,ENGL 1109,1000
302280,Summer 2022,SOC,1018,SOC 1018,1000
302280,Spring 2022,ACCT,2200,ACCT 2200,2000
302280,Spring 2022,MATH,2200,MATH 2200,2000
302280,Spring 2022,ECON,2018,ECON 2018,2000
302280,Spring 2022,ART,1009,ART 1009,1000
302280,Spring 2022,ART,1009,ART 1009,1000
302280,Fall 2021,MATH,1010,MATH 1010,1000
302280,Fall 2021,MATH,1010,MATH 1010,1000
302280,Fall 2021,CSUB,1029,CSUB 1029,1000
302280,Fall 2021,COMM,1008,COMM 1008,1000
302280,Fall 2021,BA,1008,BA 1008,1000
302280,Fall 2021,ENGL,950,ENGL 950,0
302280,Fall 2021,ENGL,1100,ENGL 1100,1000
302295,Spring 2022,MODL,2318,MODL 2318,2000
302295,Spring 2022,ECON,2018,ECON 2018,2000
302295,Spring 2022,ACCT,2200,ACCT 2200,2000
302295,Fall 2021,CSUB,1029,CSUB 1029,1000
302295,Fall 2021,MIS,2000,MIS 2000,2000
302295,Spring 2022,BA,2100,BA 2100,2000
302295,Fall 2021,PHIL,1019,PHIL 1019,1000
302295,Fall 2021,BA,1008,BA 1008,1000
302295,Fall 2021,MATH,2205,MATH 2205,2000
302305,Spring 2022,ANTH,1318,ANTH 1318,1000
302305,Spring 2022,SOC,1018,SOC 1018,1000
302305,Spring 2022,CRJU,2210,CRJU 2210,2000
302305,Spring 2022,PSYC,2018,PSYC 2018,2000
302305,Spring 2022,ENGL,1208,ENGL 1208,1000
302305,Fall 2021,CSUB,1029,CSUB 1029,1000
302305,Fall 2021,CRJU,1108,CRJU 1108,1000
302305,Fall 2021,COMM,1008,COMM 1008,1000
302305,Fall 2021,ART,1009,ART 1009,1000
302305,Fall 2021,ART,1009,ART 1009,1000
302305,Fall 2021,ETHS,1208,ETHS 1208,1000
302305,Fall 2021,ENGL,1109,ENGL 1109,1000
302417,Spring 2022,CHEM,1000,CHEM 1000,1000
302417,Spring 2022,CHEM,1002,CHEM 1002,1000
302417,Spring 2022,KINE,1537,KINE 1537,1000
302417,Spring 2022,KINE,1020,KINE 1020,1000
302417,Spring 2022,HIST,1228,HIST 1228,1000
302417,Spring 2022,PSYC,1018,PSYC 1018,1000
302417,Spring 2022,COMM,1008,COMM 1008,1000
302417,Fall 2021,CSUB,1029,CSUB 1029,1000
302417,Fall 2021,ENGL,1109,ENGL 1109,1000
302417,Fall 2021,KINE,1018,KINE 1018,1000
302417,Fall 2021,ART,1009,ART 1009,1000
302417,Fall 2021,ART,1009,ART 1009,1000
302417,Fall 2021,KINE,2018,KINE 2018,2000
302417,Fall 2021,KINE,1512,KINE 1512,1000
302417,Fall 2021,KINE,1503,KINE 1503,1000
302432,Spring 2022,ART,1019,ART 1019,1000
302432,Spring 2022,SOC,1018,SOC 1018,1000
302432,Spring 2022,ACCT,2200,ACCT 2200,2000
302432,Spring 2022,ECON,2018,ECON 2018,2000
302432,Spring 2022,ATHL,1433,ATHL 1433,1000
302432,Fall 2021,BA,1008,BA 1008,1000
302432,Fall 2021,MIS,2000,MIS 2000,2000
302432,Spring 2022,COMM,1008,COMM 1008,1000
302432,Fall 2021,ENGL,1109,ENGL 1109,1000
302432,Fall 2021,CSUB,1029,CSUB 1029,1000
302432,Fall 2021,ATHL,1433,ATHL 1433,1000
302432,Fall 2021,MATH,2205,MATH 2205,2000
302438,Spring 2022,CHEM,1009,CHEM 1009,1000
302438,Spring 2022,PSYC,2030,PSYC 2030,2000
302438,Spring 2022,CHEM,1009,CHEM 1009,1000
302438,Spring 2022,PLSI,1018,PLSI 1018,1000
302438,Spring 2022,PSYC,2018,PSYC 2018,2000
302438,Spring 2022,KINE,1503,KINE 1503,1000
302438,Spring 2022,CRJU,1108,CRJU 1108,1000
302438,Fall 2021,ART,1019,ART 1019,1000
302438,Fall 2021,SOC,2018,SOC 2018,2000
302438,Fall 2021,CSUB,1029,CSUB 1029,1000
302438,Fall 2021,COMM,1008,COMM 1008,1000
302438,Fall 2021,PHIL,1319,PHIL 1319,1000
302438,Fall 2021,PSYC,2020,PSYC 2020,2000
302667,Fall 2021,BIOL,1039,BIOL 1039,1000
302667,Spring 2022,SOC,2208,SOC 2208,2000
302667,Spring 2022,ENGL,1109,ENGL 1109,1000
302667,Spring 2022,GEOL,1009,GEOL 1009,1000
302667,Spring 2022,CRJU,2210,CRJU 2210,2000
302667,Spring 2022,ENGL,1208,ENGL 1208,1000
302667,Spring 2022,GEOL,1009,GEOL 1009,1000
302667,Fall 2021,ART,1019,ART 1019,1000
302667,Fall 2021,CRJU,1108,CRJU 1108,1000
302667,Fall 2021,ENGL,950,ENGL 950,0
302667,Fall 2021,ENGL,1100,ENGL 1100,1000
302667,Fall 2021,CSUB,1029,CSUB 1029,1000
302667,Fall 2021,BIOL,1039,BIOL 1039,1000
302675,Spring 2022,PSYC,2018,PSYC 2018,2000
302675,Spring 2022,PSYC,2030,PSYC 2030,2000
302675,Fall 2021,PSYC,1018,PSYC 1018,1000
302675,Spring 2022,PHIL,2019,PHIL 2019,2000
302675,Spring 2022,PHIL,1119,PHIL 1119,1000
302675,Spring 2022,SOC,1008,SOC 1008,1000
302675,Fall 2021,SOC,2018,SOC 2018,2000
302675,Fall 2021,ENGL,1109,ENGL 1109,1000
302675,Fall 2021,COMM,1008,COMM 1008,1000
302675,Fall 2021,CSUB,1029,CSUB 1029,1000
302722,Spring 2022,MIS,2000,MIS 2000,2000
302722,Spring 2022,ACCT,2200,ACCT 2200,2000
302722,Spring 2022,SOC,1018,SOC 1018,1000
302722,Spring 2022,BA,2900,BA 2900,2000
302722,Spring 2022,THTR,1008,THTR 1008,1000
