Random ID,Term,Course Abbrevation,Course Number,course,level
314911,Fall 2021,ART,1009,ART 1009,1000
314911,Fall 2021,ART,1009,ART 1009,1000
314911,Fall 2021,MATH,2510,MATH 2510,2000
315084,Fall 2021,ATHL,1553,ATHL 1553,1000
315084,Fall 2021,CHEM,1010,CHEM 1010,1000
315084,Fall 2021,COMM,1008,COMM 1008,1000
315084,Fall 2021,PHIL,1019,PHIL 1019,1000
315084,Fall 2021,MUS,1019,MUS 1019,1000
315084,Fall 2021,CSUB,1029,CSUB 1029,1000
315124,Fall 2021,CSUB,1029,CSUB 1029,1000
315124,Fall 2021,ART,1009,ART 1009,1000
315124,Fall 2021,ART,1009,ART 1009,1000
315124,Fall 2021,MATH,2200,MATH 2200,2000
315124,Fall 2021,ENGL,1109,ENGL 1109,1000
315124,Fall 2021,BA,1008,BA 1008,1000
315125,Fall 2021,CRJU,1108,CRJU 1108,1000
315125,Fall 2021,SOC,2018,SOC 2018,2000
315125,Fall 2021,CSUB,1029,CSUB 1029,1000
315125,Fall 2021,PHIL,1019,PHIL 1019,1000
315125,Fall 2021,ENGL,1109,ENGL 1109,1000
315203,Fall 2021,ART,1009,ART 1009,1000
315203,Fall 2021,ART,1009,ART 1009,1000
315203,Fall 2021,KINE,1526,KINE 1526,1000
315203,Fall 2021,KINE,1018,KINE 1018,1000
315203,Fall 2021,CSUB,1029,CSUB 1029,1000
315203,Fall 2021,KINE,2018,KINE 2018,2000
315203,Fall 2021,ETHS,1208,ETHS 1208,1000
315411,Fall 2021,COMM,1008,COMM 1008,1000
315411,Fall 2021,CSUB,1029,CSUB 1029,1000
315411,Fall 2021,MATH,2200,MATH 2200,2000
315411,Fall 2021,BA,1008,BA 1008,1000
315411,Fall 2021,ART,1019,ART 1019,1000
315771,Fall 2021,CRJU,3250,CRJU 3250,3000
315771,Fall 2021,ART,1019,ART 1019,1000
315771,Fall 2021,PHIL,1319,PHIL 1319,1000
315771,Fall 2021,ENGL,1109,ENGL 1109,1000
315771,Fall 2021,CSUB,1029,CSUB 1029,1000
316213,Fall 2021,CAFS,2000,CAFS 2000,2000
316213,Fall 2021,ENGL,1109,ENGL 1109,1000
316213,Fall 2021,CSUB,1029,CSUB 1029,1000
316213,Fall 2021,COMM,1008,COMM 1008,1000
316213,Fall 2021,MATH,2120,MATH 2120,2000
316234,Fall 2021,CMPS,2010,CMPS 2010,2000
316234,Fall 2021,CMPS,2010,CMPS 2010,2000
316234,Fall 2021,CSUB,1029,CSUB 1029,1000
316234,Fall 2021,MATH,1050,MATH 1050,1000
316234,Fall 2021,MATH,1050,MATH 1050,1000
316234,Fall 2021,COMM,1008,COMM 1008,1000
316234,Fall 2021,ART,2508,ART 2508,2000
316260,Fall 2021,CAFS,2000,CAFS 2000,2000
316260,Fall 2021,CSUB,1029,CSUB 1029,1000
316260,Fall 2021,SOC,2018,SOC 2018,2000
316260,Fall 2021,COMM,1008,COMM 1008,1000
316260,Fall 2021,ART,1009,ART 1009,1000
316260,Fall 2021,ART,1009,ART 1009,1000
316260,Fall 2021,MATH,2120,MATH 2120,2000
316368,Fall 2021,CSUB,1029,CSUB 1029,1000
316368,Fall 2021,ENGL,1109,ENGL 1109,1000
316368,Fall 2021,ART,1009,ART 1009,1000
316368,Fall 2021,ART,1009,ART 1009,1000
316368,Fall 2021,MATH,2120,MATH 2120,2000
317135,Fall 2021,CSUB,1029,CSUB 1029,1000
317135,Fall 2021,THTR,1009,THTR 1009,1000
317135,Fall 2021,KINE,1018,KINE 1018,1000
317135,Fall 2021,PHIL,1119,PHIL 1119,1000
317135,Fall 2021,KINE,1526,KINE 1526,1000
317135,Fall 2021,SOC,2300,SOC 2300,2000
317461,Fall 2021,BA,1008,BA 1008,1000
317461,Fall 2021,ART,1009,ART 1009,1000
317461,Fall 2021,ART,1009,ART 1009,1000
317461,Fall 2021,ENGL,1109,ENGL 1109,1000
317461,Fall 2021,MATH,2200,MATH 2200,2000
317461,Fall 2021,CSUB,1029,CSUB 1029,1000
319176,Fall 2021,ENGL,1109,ENGL 1109,1000
319176,Fall 2021,MATH,1050,MATH 1050,1000
319176,Fall 2021,MATH,1050,MATH 1050,1000
319176,Fall 2021,COMM,1008,COMM 1008,1000
319176,Fall 2021,CMPS,2010,CMPS 2010,2000
319176,Fall 2021,CMPS,2010,CMPS 2010,2000
319176,Fall 2021,CSUB,1029,CSUB 1029,1000
319595,Fall 2021,ART,1019,ART 1019,1000
319595,Fall 2021,ENGL,1109,ENGL 1109,1000
319595,Fall 2021,ATHL,1553,ATHL 1553,1000
319595,Fall 2021,KINE,1018,KINE 1018,1000
319595,Fall 2021,KINE,2018,KINE 2018,2000
319595,Fall 2021,KINE,1503,KINE 1503,1000
319595,Fall 2021,CSUB,1029,CSUB 1029,1000
319609,Fall 2021,BIOL,1009,BIOL 1009,1000
319609,Fall 2021,CSUB,1029,CSUB 1029,1000
319609,Fall 2021,BIOL,1009,BIOL 1009,1000
319609,Fall 2021,PHIL,1019,PHIL 1019,1000
319810,Spring 2022,ECON,2028,ECON 2028,2000
319810,Spring 2022,CSUB,1029,CSUB 1029,1000
319810,Spring 2022,SOC,1018,SOC 1018,1000
319810,Spring 2022,ECON,2018,ECON 2018,2000
319810,Spring 2022,COMM,1008,COMM 1008,1000
319810,Spring 2022,ATHL,1563,ATHL 1563,1000
321637,Fall 2022,BA,1008,BA 1008,1000
